"","x"
"1557","1973"
"1558","1972"
"1559","1971"
"1560","1970"
"1561","1968"
"1562","1967"
"1563","2001"
"1564","1993"
"1565","1992"
"1566","1989"
"1567","1986"
"1568","1985"
"1569","1983"
"1570","1981"
"1571","2017"
"1572","2003"
"1573","2003"
"1574","2003"
"1575","2001"
"1576","2001"
"1577","2001"
"1578","2013"
"1579","2009"
"1580","2006"
"1581","2002"
"1582","2000"
"1583","1998"
"1584","1998"
"1585","1996"
"1586","1994"
"1587","1993"
"1588","1991"
"1589","1994"
"1590","1996"
"1591","2001"
"1592","2010"
"1593","2010"
"1594","2020"
"1595","2018"
"1596","2014"
"1597","2012"
"1598","2007"
"1599","2000"
"1600","2000"
"1601","1998"
"1602","1995"
"1603","1993"
"1604","1991"
"1605","1987"
"1606","2006"
"1607","1982"
"1608","2004"
"1609","2001"
"1610","1998"
"1611","1996"
"1612","1994"
"1613","1992"
"1614","1991"
"1615","1988"
"1616","1987"
"1617","1986"
"1618","1985"
"1619","1984"
"1620","1983"
"1621","2006"
"1622","2007"
"1623","2006"
"1624","2000"
"1625","1998"
"1626","1967"
"1627","2005"
"1628","2002"
"1629","1995"
"1630","1992"
"1631","1992"
"1632","1987"
"1633","1986"
"1634","1984"
"1635","1982"
"1636","1980"
"1637","1978"
"1638","1975"
"1639","1973"
"1640","1973"
"1641","1999"
"1642","1995"
"1643","2016"
"1644","2007"
"1645","2013"
"1646","1991"
"1647","1988"
"1648","2016"
"1649","2011"
"1650","2007"
"1651","2003"
"1652","2001"
"1653","2000"
"1654","1997"
"1655","1995"
"1656","1993"
"1657","1988"
"1658","1988"
"1659","1988"
"1660","1973"
"1661","1973"
"1662","2003"
"1663","1970"
"1664","1969"
"1665","1969"
"1666","1968"
"1667","1967"
"1668","1967"
"1669","1966"
"1670","1965"
"1671","1965"
"1672","1964"
"1673","1964"
"1674","1963"
"1675","1997"
"1676","2016"
"1677","2013"
"1678","2012"
"1679","2011"
"1680","2003"
"1681","1974"
"1682","1985"
"1683","1980"
"1684","1979"
"1685","1978"
"1686","1977"
"1687","1976"
"1688","1973"
"1689","1972"
"1690","1971"
"1691","1970"
"1692","1970"
"1693","1969"
"1694","1968"
"1695","1967"
"1696","1967"
"1697","1966"
"1698","1965"
"1699","1965"
"1700","1965"
"1701","1964"
"1702","1964"
"1703","1964"
"1704","1964"
"1705","1963"
"1706","1963"
"1707","1963"
"1708","1962"
"1709","2002"
"1710","2000"
"1711","1996"
"1712","1994"
"1713","2019"
"1714","1987"
"1715","1998"
"1716","2014"
"1717","2010"
"1718","2006"
"1719","2002"
"1720","1994"
"1721","1994"
"1722","2018"
"1723","1999"
"1724","1972"
"1725","1996"
"1726","1991"
"1727","1987"
"1728","1982"
"1729","1981"
"1730","1995"
"1731","1985"
"1732","1998"
"1733","2005"
"1734","1993"
"1735","1985"
"1736","1979"
"1737","1978"
"1738","1976"
"1739","1970"
"1740","1998"
"1741","1989"
"1742","1973"
"1743","1972"
"1744","1971"
"1745","1969"
"1746","1968"
"1747","1996"
"1748","1995"
"1749","1978"
"1750","2020"
"1751","1972"
"1752","1970"
"1753","1972"
"1754","1975"
"1755","1973"
"1756","1978"
"1757","1970"
"1758","1969"
"1759","1974"
"1760","1975"
"1761","1973"
"1762","1972"
"1763","1972"
"1764","1973"
"1765","1971"
"1766","1990"
"1767","1989"
"1768","1987"
"1769","1981"
"1770","1981"
"1771","1980"
"1772","1978"
"1773","1977"
"1774","1975"
"1775","1974"
"1776","1973"
"1777","1973"
"1778","1970"
"1779","1970"
"1780","1969"
"1781","1968"
"1782","1967"
"1783","2015"
"1784","2011"
"1785","2009"
"1786","2004"
"1787","2002"
"1788","1999"
"1789","1995"
"1790","1996"
"1791","2003"
"1792","1991"
"1793","1972"
"1794","2018"
"1795","2002"
"1796","1983"
"1797","1978"
"1798","1972"
"1799","1971"
"1800","1971"
"1801","1970"
"1802","1970"
"1803","1969"
"1804","1968"
"1805","1967"
"1806","1967"
"1807","1969"
"1808","1968"
"1809","1967"
"1810","1966"
"1811","1970"
"1812","1969"
"1813","1969"
"1814","1969"
"1815","1968"
"1816","1968"
"1817","1967"
"1818","1966"
"1819","1965"
"1820","1965"
"1821","2009"
"1822","1977"
"1823","1969"
"1824","1969"
"1825","1968"
"1826","1967"
"1827","1971"
"1828","2012"
"1829","2009"
"1830","2006"
"1831","2004"
"1832","2002"
"1833","2001"
"1834","1998"
"1835","1997"
"1836","1995"
"1837","1990"
"1838","1989"
"1839","1986"
"1840","1985"
"1841","1984"
"1842","1983"
"1843","1981"
"1844","1980"
"1845","1979"
"1846","1979"
"1847","1978"
"1848","1976"
"1849","1975"
"1850","1974"
"1851","1973"
"1852","1970"
"1853","1973"
"1854","1970"
"1855","1969"
"1856","1967"
"1857","1966"
"1858","1965"
"1859","1965"
"1860","1964"
"1861","1964"
"1862","1963"
"1863","1962"
"1864","1977"
"1865","1975"
"1866","1988"
"1867","1987"
"1868","1986"
"1869","1990"
"1870","2020"
"1871","2020"
